Designator,Comment,Footprint,Quantity,LCSC,Farnell PN

"C22","470uF/25V","RB5/10X13MM","1","",""
"C25","270uF/25V","RB5/10X13MM","1","",""
"P1, P2","MOLEX-43045-0612","MOLEX-43045-0612","2","","1012248"
"Q1, Q2","DMP4025LSD-13","SO-8_M","2","",""
"Q14, Q15, Q16, Q19, Q20, Q21","FDS4675","SO-8_M","6","",""
"R19","OAR3-R050FI","OAR3-R050FI","1","",""
"SC1, SC2, SC3","B32-2010","SW-CAP-B32-2010","3","","2352313"
"SP1, SP2, SP3, SP4","6MM Spacer","SPACER-2MM DIA X 6MM","4","",""
"U2","OPA189ID","SOIC127P600-8N","1","",""
"U6","ADuM4160BRIZ","SOIC127P1030-16M","1","","2061081"
"D5, D6","LED","LED3MM-GREEN - 10MM PROUD","2","",""
"D14, D15","LED","LED3MM-RED - 10MM PROUD","2","",""
"J1","JST XH Connector, 3-Pin","JST-B3B-XH-AX","1","","1516277"
"J2","JST XH Connector, 4-Pin","JST-B4B-XH-AX","1","","1516278"
"OLED1","OLED_Display","OLED_DISPLAY_128X64_2.4INCH - NO MOUNTING HOLES","1","",""
"P3","Terminal3","MOLEX-39544-3003","1","",""
"P4","Header, 5-Pin","HDR1X5S","1","",""
"S1, S2, S3","SW_PB-B3F1052","SW_MIN_PB-B3F1052","3","","196094202"
"U7","MK20DX256VLH7","TSQFP50P1200X1200-64M","1","",""
"USB1","USB4085-GF-A","USB4085-GF-A","1","","2924867"
"L4, L5","Ferrite Bead 600R@100MHz","FB1608-0603","2","C1002",""
"L1, L2, L3","Ferrite Bead 600R@100MHz","FB2012-0805","3","C1017",""
"C35, C36","1nF","CCNP1608-0603_N","2","C1588",""
"D10","1N4148WS","SOD-323","1","C2128","2675146"
"Q8, Q9, Q10, Q11","BSS84","SOT23_M","4","C8492",""
"Y1","16 MHz","CRYSTAL_SMD_3.2X2.5","1","C13738",""
"C1, C2, C7, C8, C9, C11, C12, C13, C14, C15, C17, C18, C19, C20, C24, C28, C29, C30, C31, C32, C33, C37, C38, C39, C41","100nF","CCNP1608-0603_N","25","C14663",""
"C10, C16, C42","100pF","CCNP1608-0603_N","3","C14858",""
"C43","DNP","CCNP1608-0603_N","1","C14858",""
"C23, C27, C40","10uF","CCNP2012-0805","3","C15850",""
"Q7","MMBT3904LT1G","SOT23_N","1","C20526",""
"R23","DNP","CR1608-0603_N","1","C21189",""
"R29","0R","CR1608-0603_N","1","C21189",""
"R52, R56, R68","1K","CR1608-0603_N","3","C21190",""
"U1","MCP6001UT-I/OT","SOT23-5_M","1","C21403",""
"R48","15K","CR1608-0603_N","1","C22809",""
"R24","10R","CR1608-0603_N","1","C22978",""
"R27, R34, R36, R37, R38","3.3k","CR1608-0603_N","5","C22978",""
"R51, R53, R60, R61, R66, R67","33R","CR1608-0603_N","6","C23140",""
"R40, R41, R44, R45","39k","CR1608-0603_N","4","C23153",""
"R49","4.3k","CR1608-0603_N","1","C23159",""
"R1, R2, R3, R4, R5, R6, R7, R8, R42, R43, R46, R47, R69, R70","4.7k","CR1608-0603_N","14","C23162",""
"R9, R10, R59, R62","470R","CR1608-0603_N","4","C23179",""
"R55, R58","5.1k","CR1608-0603_N","2","C23186",""
"C34","2.2uF","CCNP1608-0603_N","1","C23630",""
"R11, R12, R13, R14, R15, R16, R18, R20, R26, R28, R35, R50, R54, R57, R63, R64, R65, R71","10k","CR1608-0603_N","18","C25804",""
"R72","1M","CR1608-0603_N","1","C25804",""
"R17, R21, R30, R31, R32, R33, R39","22k","CR1608-0603_N","7","C31850",""
"C21, C26","2.2uF","CCNP2012-0805","2","C49217",""
"Q13","MMBT3906LT1G","SOT23_N","1","C53444",""
"D1, D2, D3, D4","SM4007PL","SOD-123FL","4","C64898",""
"Q12, Q24","BSH103","SOT23_N","2","C88711","1081307"
"Z1, Z2, Z3, Z4, Z6, Z7, Z8, Z9","BZT52C12S-7-F","SOD-323","8","C124208",""
"U8","LM4040BIM3-3.0/NOPB","SOT23_M","1","C131939","3124419"
"D7","BAV199LT1G","SOT23_N","1","C145516","1431115"
"D11, D12, D13","BAV199LT1G","SOT23_M","3","C145516","1431115"
"U4","NCP1117DT33T5G","TO-252","1","C152529",""
"U5","MC79L05ACD","SOIC127P600-8N","1","C154823","3122804"
"BR1","MB1S","MB1S","1","C232821",""
"Z10","CM1293A-04SO","SOT457_M - 180","1","C393377","2533258"
"Q3, Q4, Q5, Q6, Q17, Q18, Q22, Q23","IMD2AT108","SOT457_M - MIRROR","8","C509889","1680329"
"U3","74HC4052PW-Q100,11","TSSOP16_M","1","C547006","2445305"
